,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
115,kashi,0,CN,1603251261,23,39.45,75.98,53.6,8.95
116,kalmunai,13,LK,1603251004,55,7.42,81.82,87.39,3.62
117,vostok,100,RU,1603251262,43,46.49,135.88,53.37,6.2
118,san cristobal,0,ML,1603251132,54,13.3,-4.9,78.66,5.79
119,hasaki,40,JP,1603251168,55,35.73,140.83,68.0,14.99
120,souillac,75,MU,1603251262,69,-20.52,57.52,77.0,12.75
121,hofn,20,IS,1603251174,74,64.25,-15.21,35.65,5.99
122,luderitz,0,NA,1603251139,42,-26.65,15.16,61.97,11.74
123,buraydah,0,SA,1603251262,41,26.33,43.98,59.0,5.82
124,dikson,93,RU,1603251126,97,73.51,80.55,24.62,4.63
125,eyl,0,SO,1603251262,74,7.98,49.82,80.62,8.25
126,santa fe,100,PH,1603251262,73,17.49,120.43,86.02,3.2
127,litoral del san juan,85,BR,1603251262,95,-30.01,-50.16,67.82,3.76
128,padang,90,ID,1603251247,58,-0.95,100.35,86.9,6.13
129,lebu,0,CL,1603250970,79,-37.62,-73.65,48.76,16.8
130,hithadhoo,42,MV,1603251264,79,-0.6,73.08,82.27,13.4
131,college,90,US,1603251264,85,64.86,-147.8,23.0,0.29
132,cape town,11,CL,1603251264,71,-36.41,-71.9,51.8,5.82
133,partizanskoye,100,RU,1603251264,76,55.5,94.39,40.66,8.63
134,atuona,80,PF,1603250986,76,-9.8,-139.03,77.86,15.82
135,khatanga,81,RU,1603251264,95,71.97,102.5,7.23,8.12
136,longyearbyen,40,SJ,1603251264,68,78.22,15.64,26.6,4.7
137,port hardy,26,CD,1603251254,72,-7.03,29.76,73.0,3.67
138,half moon bay,87,LR,1603251264,91,6.38,-10.7,75.51,1.28
139,tanout,0,NE,1603251264,16,14.97,8.89,80.04,7.09
140,mahuva,12,IN,1603251264,65,21.09,71.76,87.24,8.68
141,qaqortoq,100,GL,1603251264,95,60.72,-46.03,32.0,2.24
142,faanui,10,PF,1603251263,79,-16.48,-151.75,79.18,13.69
143,matai,97,TZ,1603251265,71,-8.3,31.52,63.21,4.43
144,verkhnevilyuysk,82,RU,1603251265,93,63.45,120.32,23.7,4.27
145,barrow,90,US,1603251002,86,71.29,-156.79,28.4,12.75
146,vilhena,69,BR,1603251265,86,-12.74,-60.15,70.86,1.7
147,port alfred,26,CD,1603251254,72,-7.03,29.76,73.0,3.67
148,aklavik,90,CA,1603251123,92,68.22,-135.01,23.0,10.29
149,torbay,75,CA,1603251250,93,47.67,-52.73,59.0,16.11
150,kultuk,86,RU,1603251265,58,51.72,103.7,40.33,3.65
151,jevnaker,75,NO,1603251265,100,60.24,10.38,39.99,1.12
152,gunjur,100,GM,1603251266,84,13.2,-16.73,81.59,10.51
153,champerico,100,GT,1603251266,99,14.3,-91.92,64.99,5.26
154,maniitsoq,100,GL,1603251266,88,65.42,-52.9,33.98,21.83
155,gandai,0,IN,1603251266,62,21.67,81.1,82.54,6.33
156,alofi,100,NU,1603251266,84,-19.06,-169.92,74.91,22.35
157,pevek,79,RU,1603251184,95,69.7,170.31,30.67,13.49
158,dingle,50,PH,1603251027,79,11.0,122.67,84.61,16.24
159,wilson,1,US,1603251063,100,36.15,-86.28,60.8,3.36
160,sarai alamgir,3,RU,1603251267,97,53.75,41.02,31.33,10.92
161,klaksvik,22,FO,1603251207,69,62.23,-6.59,41.0,6.93
162,iglesias,20,IT,1603251267,77,39.31,8.54,66.2,13.87
163,grand-santi,97,GF,1603251267,78,4.25,-54.38,75.78,4.03
164,rawson,0,AR,1603251191,57,-43.3,-65.1,50.68,15.99
165,krasnyy mayak,100,RU,1603251236,84,54.57,31.43,36.84,8.7
166,clyde river,100,US,1603251267,94,41.3,-82.98,51.01,9.84
167,chuy,100,UY,1603251169,72,-33.7,-53.46,58.01,13.6
168,mar del plata,20,ES,1603251267,52,43.4,-4.01,69.8,18.34
169,bulgan,0,MN,1603251268,74,48.81,103.53,34.29,4.52
170,brae,100,GB,1603251198,81,60.4,-1.35,48.2,28.86
171,pahrump,0,US,1603251268,22,36.21,-115.98,66.99,2.86
172,praia da vitoria,96,CV,1603251268,83,14.92,-23.51,78.8,8.05
173,broome,90,US,1603251218,100,42.25,-75.83,51.01,3.36
174,port elizabeth,26,CD,1603251268,72,-7.03,29.76,73.0,3.67
175,paungde,100,MM,1603251268,98,18.48,95.5,74.48,2.55
176,sao joao da barra,0,IN,1603251268,71,20.51,76.21,79.72,3.44
177,victoria,33,HK,1603251129,65,22.29,114.16,79.0,3.0
178,vestmannaeyjar,100,IS,1603251147,71,63.44,-20.27,38.53,3.51
179,tomatlan,79,MX,1603251268,91,19.93,-105.25,77.67,0.76
180,sarai mir,3,RU,1603251267,97,53.75,41.02,31.33,10.92
181,namibe,100,AO,1603251269,85,-15.2,12.15,68.59,9.26
182,westport,90,US,1603251212,100,41.14,-73.36,63.0,0.81
183,mataram,40,ID,1603251072,62,-8.58,116.12,89.6,12.75
184,rostock,75,DE,1603251269,100,54.09,12.14,54.0,6.93
185,mbarara,94,UG,1603251269,93,-0.61,30.65,63.39,3.47
186,mount gambier,100,GB,1603251260,96,53.66,-1.85,55.99,3.0
187,harindanga,40,IN,1603251269,83,22.04,88.32,84.2,10.29
188,kachiry,1,KZ,1603251270,45,53.07,76.1,51.21,11.41
189,yellowknife,20,CA,1603251270,92,62.46,-114.35,23.0,6.93
190,najran,0,SA,1603251270,29,17.49,44.13,60.8,4.7
191,lagoa,63,PT,1603251024,67,39.05,-27.98,63.27,24.87
192,tuatapere,54,NZ,1603251259,60,-46.13,167.68,55.99,14.0
193,newport,100,GB,1603251270,98,51.59,-3.0,60.01,3.33
194,talnakh,44,RU,1603251270,92,69.49,88.4,6.8,2.24
195,georgetown,20,MY,1603251270,66,5.41,100.34,86.0,4.7
196,petauke,0,ZM,1603251270,48,-14.24,31.33,71.73,6.69
197,taraza,99,CO,1603251134,87,7.58,-75.4,74.44,3.02
198,lermontovka,100,RU,1603251270,58,47.15,134.34,55.35,14.94
199,peniche,3,PT,1603251221,88,39.36,-9.38,61.0,7.0
200,komsomolskiy,0,UZ,1603251265,24,40.43,71.72,57.2,6.93
201,iqaluit,90,CA,1603251271,96,63.75,-68.51,32.0,14.99
202,kodinsk,100,RU,1603251271,90,58.69,99.18,34.3,3.85
203,jaguariaiva,0,BR,1603251271,99,-24.25,-49.71,64.99,5.01
204,kozhevnikovo,88,RU,1603251271,71,56.26,83.97,44.01,12.06
205,provideniya,90,RU,1603251271,93,64.38,-173.3,42.8,6.71
206,saint-joseph,4,RE,1603251272,50,-21.37,55.62,75.99,4.7
207,northam,100,GB,1603251272,92,51.03,-4.22,57.0,5.99
208,shetpe,100,KZ,1603251272,61,44.17,52.12,49.05,8.39
209,bletchley,100,GB,1603251272,97,51.99,-0.73,57.99,3.0
210,gat,9,IL,1603251272,100,31.61,34.76,73.0,2.44
211,cap-aux-meules,75,CA,1603251273,81,47.38,-61.86,53.6,18.34
212,tessalit,0,ML,1603251273,18,20.2,1.01,77.65,8.77
213,carutapera,44,BR,1603251160,86,-1.2,-46.02,76.96,6.4
214,kupang,40,ID,1603251273,59,-10.17,123.58,91.4,9.17
215,matamoros,25,MX,1603251273,42,25.53,-103.25,72.1,5.77
216,uhlove,0,UA,1603251273,59,44.82,33.6,50.11,8.32
217,berlevag,20,NO,1603251159,81,70.86,29.09,33.8,4.7
218,wanning,74,CN,1603251273,73,18.8,110.4,77.56,15.3
219,ayer itam,94,ES,1603251273,100,43.12,-5.58,57.0,5.01
220,kirakira,67,SB,1603251179,66,-10.45,161.92,84.43,8.19
221,amapa,4,BR,1603251208,89,1.0,-52.0,73.42,3.04
222,boda,99,CF,1603251275,95,4.32,17.47,70.0,0.27
223,dong xoai,100,CM,1603251275,97,4.89,12.01,68.74,3.38
224,roald,100,NO,1603251275,87,62.58,6.13,42.8,14.99
225,kavaratti,20,IN,1603251087,78,10.57,72.64,82.4,5.82
226,tyrma,100,RU,1603251275,68,50.08,132.17,44.92,8.23
227,ambon,40,ID,1603251275,66,-3.7,128.18,87.8,6.93
228,rockhampton,75,AU,1603251275,77,-23.38,150.5,69.8,19.46
229,setubal,20,PT,1603251275,93,38.52,-8.89,60.8,5.82
230,usa river,79,TZ,1603251102,80,-3.37,36.85,64.24,3.53
231,yulara,0,AU,1603251006,16,-25.24,130.99,95.0,8.05
232,lata,21,PT,1603251276,91,40.16,-8.33,60.01,7.0
233,ahipara,100,NZ,1603251277,69,-35.17,173.17,64.45,5.7
234,gigmoto,65,PH,1603251277,69,13.78,124.39,86.83,12.84
235,garowe,0,SO,1603251278,72,8.41,48.48,77.7,6.76
236,takoradi,99,GH,1603251109,91,4.88,-1.76,75.79,7.0
237,reconquista,60,AR,1603251278,87,-29.15,-59.65,65.08,11.54
238,paamiut,98,GL,1603251278,88,61.99,-49.67,34.45,7.65
239,mogadishu,39,SO,1603251278,80,2.04,45.34,79.74,11.61
240,nhulunbuy,2,AU,1603251211,62,-12.23,136.77,86.0,12.75
241,kaeo,98,NZ,1603251222,66,-35.1,173.78,68.0,13.0
242,nago,40,JP,1603251278,66,26.59,127.98,84.2,20.8
243,clarence town,90,US,1603251279,81,42.98,-78.59,48.99,9.17
244,ust-nera,47,RU,1603251279,87,64.57,143.2,12.49,2.84
245,hobyo,4,SO,1603251279,82,5.35,48.53,80.31,11.65
246,port lincoln,26,CD,1603251279,72,-7.03,29.76,73.0,3.67
247,glenwood springs,90,US,1603251279,100,41.54,-87.6,51.01,10.29
248,kloulklubed,90,PW,1603251279,74,7.04,134.26,84.2,9.17
249,anadyr,92,RU,1603251199,75,64.75,177.48,42.8,15.66
250,temuco,0,CL,1603251279,93,-38.73,-72.6,46.4,4.7
251,severo-kurilsk,58,RU,1603251066,66,50.68,156.12,42.12,30.09
252,cherskiy,95,RU,1603251279,97,68.75,161.3,21.67,2.35
253,barcelos,75,PT,1603251196,100,41.54,-8.62,59.0,9.17
254,samana,51,DO,1603251279,79,19.21,-69.34,75.96,1.92
255,arraial do cabo,75,BR,1603251279,83,-22.84,-46.65,69.8,3.36
256,kodiak,1,US,1603251279,45,57.79,-152.41,44.6,8.05
257,gizo,96,SB,1603251280,73,-8.1,156.84,83.23,12.39
258,blackwater,76,AU,1603251280,41,-23.58,148.88,85.51,10.74
259,medvedka,98,RU,1603251280,96,61.16,46.39,27.37,9.46
260,uzyn,77,UA,1603251280,86,49.83,30.41,41.0,4.47
261,shu,0,KZ,1603251167,25,43.6,73.76,64.63,7.96
262,muros,57,ES,1603251280,92,42.78,-9.06,57.99,8.99
263,muroto,75,JP,1603251280,57,33.28,134.15,77.0,6.93
264,taywarah,0,AF,1603251281,41,33.35,64.42,44.92,5.14
265,san carlos de bariloche,0,ML,1603251003,54,13.3,-4.9,78.66,5.79
266,balabac,97,PH,1603251282,74,7.99,117.06,84.88,15.28
267,pecos,1,US,1603251282,50,31.42,-103.49,77.0,10.29
268,igede,25,NG,1603251282,74,10.05,5.94,73.36,2.59
269,marawi,99,PH,1603251282,76,8.0,124.29,84.99,7.0
270,petropavlovka,53,RU,1603251282,61,50.61,105.32,37.53,6.22
271,enshi,4,CN,1603251282,54,30.3,109.48,70.2,0.56
272,sioux lookout,90,US,1603251282,93,42.73,-96.23,42.01,5.26
273,kavieng,99,PG,1603251282,81,-2.57,150.8,81.01,10.67
274,kununurra,15,AU,1603251282,37,-15.77,128.73,98.6,10.29
275,pisco,7,PE,1603251282,82,-13.7,-76.22,64.0,5.82
276,kathmandu,20,NP,1603251101,77,27.72,85.32,69.8,3.36
277,pangnirtung,100,CA,1603251282,94,66.15,-65.71,24.42,2.44
278,zhoucheng,0,CN,1603251283,23,35.91,116.31,66.94,14.9
279,taunggyi,36,MM,1603251283,71,20.78,97.03,72.91,4.21
280,ayagoz,0,KZ,1603251283,34,47.97,80.44,52.68,1.52
281,saint-francois,100,FR,1603251283,55,46.42,3.91,63.0,23.04
282,nelson bay,0,NZ,1603251283,51,-41.28,173.28,69.01,5.99
283,vanimo,100,PG,1603250990,73,-2.67,141.3,83.97,1.68
284,mys shmidta,94,RU,1603251283,97,62.06,48.62,25.45,6.13
285,hirara,75,JP,1603251283,94,24.8,125.28,78.8,16.11
286,tiksi,71,RU,1603251230,92,71.69,128.87,8.38,8.48
287,ballina,0,AU,1603251283,53,-28.87,153.57,78.01,13.87
288,esmeraldas,90,BR,1603251269,93,-19.76,-44.31,64.4,3.36
289,chokurdakh,59,RU,1603251285,95,70.63,147.92,8.44,5.19
290,celestun,2,MX,1603251286,87,20.87,-90.4,78.66,8.01
291,samarkand,0,UZ,1603251257,57,39.65,66.96,50.0,2.24
292,atar,0,MR,1603251286,27,20.52,-13.05,83.61,5.64
293,matara,11,LK,1603251227,73,5.95,80.54,83.7,13.22
294,karratha,86,AU,1603251176,25,-20.74,116.85,89.71,18.43
295,tarnos,75,FR,1603251286,49,43.54,-1.46,71.6,11.41
296,nanakuli,40,US,1603251286,74,21.39,-158.15,82.4,8.05
297,japura,95,ID,1603251286,58,-0.32,102.35,93.25,0.22
298,port macquarie,26,CD,1603251254,72,-7.03,29.76,73.0,3.67
299,venado tuerto,2,MX,1603251286,71,22.93,-101.08,63.28,8.1
300,aasiaat,99,GL,1603251286,97,68.71,-52.87,32.25,13.02
301,muisne,100,EC,1603251286,83,0.6,-80.03,75.34,5.93
302,nantucket,90,US,1603251286,96,41.28,-70.1,63.0,4.7
303,jonuta,72,MX,1603251287,96,18.08,-92.13,73.42,5.95
304,xai-xai,99,MZ,1603251287,78,-25.05,33.64,71.65,17.25
305,narsaq,100,GL,1603251287,91,60.92,-46.05,32.0,2.24
306,san patricio,0,ML,1603251003,54,13.3,-4.9,78.66,5.79
307,nioro,82,GM,1603251287,97,13.35,-15.75,76.78,5.17
308,rocky mountain house,1,US,1603251287,77,35.16,-99.06,66.2,11.41
309,kudahuvadhoo,64,MV,1603251211,78,2.67,72.89,82.58,12.91
310,luganville,75,VU,1603251287,74,-15.53,167.17,82.4,6.93
311,bereda,99,ES,1603251287,100,43.27,-7.54,55.99,8.99
312,emerald,40,AU,1603251287,38,-23.53,148.17,89.6,13.87
313,veydelevka,23,RU,1603251287,88,50.15,38.45,35.04,6.91
314,shingu,40,JP,1603251288,53,33.73,135.98,73.4,11.41
315,san quintin,0,ML,1603251003,54,13.3,-4.9,78.66,5.79
316,jiazi,1,CN,1603251288,63,22.88,116.07,79.68,13.22
317,huancabamba,21,PE,1603251288,76,-5.24,-79.45,58.95,5.03
318,santa maria da boa vista,100,PH,1603251056,73,17.49,120.43,86.02,3.2
319,londa,75,IN,1603251288,94,15.47,74.52,71.6,1.9
320,methoni,20,GR,1603251288,93,36.82,21.7,64.0,8.05
321,bangassou,100,CF,1603251288,98,4.74,22.82,70.0,2.46
322,jumla,0,NP,1603251288,25,29.27,82.18,65.39,1.99
323,fare,6,PF,1603251288,78,-16.7,-151.02,79.65,13.18
324,pedernales,100,DO,1603251289,69,18.04,-71.74,79.72,2.33
325,puerto madryn,75,ES,1603251289,93,36.59,-6.23,66.2,12.75
326,caravelas,99,BR,1603251289,94,-17.71,-39.25,72.21,1.41
327,asfi,25,MA,1603251289,87,32.3,-9.24,66.7,14.85
328,sakakah,0,SA,1603251151,19,29.97,40.21,66.2,4.7
329,eureka,8,US,1603251169,53,40.8,-124.16,57.99,8.01
330,omboue,100,GA,1603251289,87,-1.57,9.26,76.59,5.75
331,tamale,1,GH,1603251289,85,9.4,-0.84,75.24,3.42
332,namatanai,70,PG,1603251289,70,-3.67,152.43,83.68,3.69
333,kastamonu,86,TR,1603251289,92,41.5,33.67,45.05,4.32
334,salalah,3,OM,1603251289,50,17.02,54.09,77.0,3.36
335,ituiutaba,100,BR,1603251289,78,-18.97,-49.47,72.64,10.58
336,vestmanna,2,FO,1603251290,75,62.16,-7.17,41.0,6.93
337,yar-sale,100,RU,1603251290,99,66.83,70.83,26.02,4.5
338,kushiro,20,JP,1603251290,62,42.98,144.37,59.0,9.17
339,chapais,90,CA,1603251182,98,49.78,-74.85,32.0,1.45
340,kamienna gora,100,PL,1603251290,87,51.08,17.76,52.0,5.82
341,portland,90,US,1603250460,67,45.52,-122.68,59.0,5.82
342,palimbang,83,PH,1603251290,63,6.21,124.19,86.49,5.14
343,jijiga,0,ET,1603251290,38,9.35,42.8,65.14,7.67
344,vila franca do campo,99,PT,1603251291,95,42.03,-8.16,54.0,11.99
345,gillette,1,US,1603251292,86,44.29,-105.5,34.0,5.82
346,grand river south east,1,US,1603251292,18,38.88,-109.5,60.8,3.36
347,zihuatanejo,38,MX,1603251292,83,17.63,-101.55,81.21,3.31
348,santa isabel do rio negro,100,PH,1603251292,73,17.49,120.43,86.02,3.2
349,katsuura,40,JP,1603251292,55,35.13,140.3,69.01,11.41
350,rundu,1,NA,1603251292,25,-17.93,19.77,66.02,6.06
351,wanxian,61,CN,1603251292,57,30.8,108.39,69.1,2.44
352,biltine,1,TD,1603251292,17,14.53,20.92,78.46,10.87
353,omagh,100,GB,1603251141,95,54.6,-7.3,52.86,8.12
354,erzincan,15,TR,1603251292,93,39.75,39.5,42.8,1.12
355,cabo san lucas,75,BR,1603251292,74,-8.28,-35.03,80.6,12.75
356,port-cartier,5,CA,1603251292,86,50.03,-66.87,37.0,5.82
357,itarema,4,BR,1603251292,79,-2.92,-39.92,78.35,15.73
358,torit,67,SS,1603251292,90,4.41,32.57,70.41,2.28
359,lagos,40,NG,1603251240,94,6.58,3.75,78.8,2.24
360,izhma,99,RU,1603251293,97,65.01,53.91,26.24,3.36
361,ternate,39,ID,1603251293,69,0.8,127.4,84.25,7.76
362,lagunas,100,PE,1603251270,96,-5.23,-75.68,73.74,1.74
363,saint-pierre,1,RE,1603251081,50,-21.34,55.48,75.99,4.7
364,aguimes,75,ES,1603251293,69,27.91,-15.45,73.4,8.05
365,mahebourg,75,MU,1603251176,69,-20.41,57.7,77.0,12.75
366,grand gaube,1,US,1603251292,18,38.88,-109.5,60.8,3.36
367,andenes,12,NO,1603251293,69,69.31,16.12,32.0,12.75
368,cockburn town,2,AU,1603251293,20,-32.08,141.0,78.8,13.87
369,ostrovnoy,100,RU,1603251293,83,68.05,39.51,35.67,12.1
370,pacifica,20,US,1603251294,52,37.61,-122.49,66.2,8.05
371,valdivia,0,CL,1603251200,66,-39.81,-73.25,48.2,4.7
372,nipawin,75,CA,1603251294,63,53.37,-104.0,26.6,3.36
373,laguna,1,US,1603251294,45,38.42,-121.42,72.0,4.45
374,rincon,75,US,1603251294,88,32.3,-81.24,73.4,5.82
375,fairlie,98,GB,1603251294,87,55.76,-4.86,54.0,4.0
376,karymskoye,0,RU,1603251294,72,51.62,114.35,32.61,11.32
377,aswan,0,EG,1603251294,24,24.09,32.91,76.84,8.66
378,farsund,72,NO,1603251294,94,58.09,6.8,54.0,5.59
379,byron bay,90,US,1603251236,100,44.03,-92.65,33.01,3.36
380,koygorodok,100,RU,1603251295,97,60.45,51.0,29.61,9.33
381,minamata,40,JP,1603251295,64,32.22,130.4,73.4,11.41
382,nam tha,59,CN,1603251295,42,29.42,90.91,52.68,3.6
383,manzanillo,99,CU,1603251295,87,20.34,-77.12,75.09,3.13
384,payson,1,US,1603251295,54,40.04,-111.73,57.2,3.06
385,kencong,3,ID,1603251296,67,-8.28,113.37,85.91,8.66
386,fayaoue,0,NC,1603251296,69,-20.65,166.53,76.93,3.96
387,lewistown,1,US,1603251296,100,40.6,-77.57,61.0,2.19
